"IMAGE","GN","CN","ACCT_NO","CONT_NO","LINE_NO","LINE_STAT","SERV_CODE","BILL_CYCL","DISTRICT","TENURE","CHURN","SECURED_REVENUE","CHURN_REASON","CHURN_GROUP","CURRENT_MTH_CHURN","COSTCENTRE"
30-JUN-19,"GN99998","CN99999998","74290842","001","000016270","AC","VS100FSR","01","TSUEN WAN",165,"N",300,"","","N","SCFY"
30-JUN-19,"GN10677","CN00014154","93770089","001","000063398","AC","PF100FSN","01","WAN CHAI",83,"N",214,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","95782892","001","000090462","AC","PF100DUN","01","TSUEN WAN",15,"N",140,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","90461575","001","000030615","AC","PF100DUR","01","SHEUNG WAN",128,"N",700,"","","N","SCFY"
30-JUN-19,"GN11603","CN00015416","95701884","001","000094745","AC","PF100DUP","01","TSIM SHA TSUI",16,"N",1950,"","","N","SCFD"
30-JUN-19,"GN99999","CN99999999","95970711","001","000092100","AC","PF1KFSV","01","CENTRAL DISTRICT",11,"N",188,"","","N","SCFY"
30-JUN-19,"GN07308","CN00010513","79015145","003","000070502","AC","VAXMXMFSXX","01","KOWLOON TONG",135,"N",820,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","91211102","001","000086605","AC","VS100DUN","01","TSUEN WAN",117,"N",180,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","90683772","001","000033262","AC","ES100DUSBR","01","KWAI CHUNG",125,"N",762.8,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","94780442","001","000079108","AC","VPXMXMDURN","01","CHEK LAP KOK",42,"N",100,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","93982254","001","000066627","AC","VPXMXMDUXX","01","TUEN MUN",74,"Y",309,"Downsizing / Cut cost","Downsizing / Cut cost","N","SCFY"
30-JUN-19,"GN99998","CN99999998","94700655","001","000090201","AC","PF100DUN","01","KWAI CHUNG",45,"N",235,"","","N","SCFY"
30-JUN-19,"GN09578","CN00013055","90775123","003","000090482","AC","VS100DUN","01","CHEUNG SHA WAN",124,"N",288,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","72054885","001","000007669","AC","VPXMXMDURN","01","WAN CHAI",193,"N",646,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","95512158","001","000087216","AC","VS100DUN","01","SHEUNG WAN",22,"N",108,"","","N","SCFY"
30-JUN-19,"GN03888","CN00006328","94655180","001","PON000051","AC","PF100FSSIP","01","TAI PO",47,"N",,"","","N","SCFD"
30-JUN-19,"GN99995","CN99999995","94409075","001","000093898","AC","PF1000FSH","01","CENTRAL DISTRICT",55,"N",510,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","94064599","001","000067674","AC","VS030FSR","01","WAN CHAI",71,"N",274.23,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","76066380","001","000025439","AC","VS100DUR","01","KWUN TONG",142,"N",193,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","75196535","001","000020800","AC","PF1000FSN","01","CENTRAL DISTRICT",153,"N",408,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","95066775","001","000082233","AC","PF100DUR","01","SHA TIN",33,"N",140,"","","N","SCFY"
30-JUN-19,"GN00412","CN00004155","94267036","001","000074714","AC","PF1000DU3PW","01","STANLEY",62,"N",42100,"","","N","SCFD"
30-JUN-19,"GN01970","CN00006308","75993667","001","000025088","AC","VPXMXMDUXX","01","CHEUNG SHA WAN",143,"N",136,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","94872736","001","000079947","AC","VS100DUSAR","01","TUEN MUN",39,"N",198,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","93382281","001","000061047","AC","VS030DUR","01","KWAI CHUNG",91,"N",152,"","","N","SCFY"
30-JUN-19,"GN04368","CN00007064","94333036","004","000081198","AC","VAXMXMFSXX","01","QUARRY BAY",60,"N",10764,"","","N","SCFD"
30-JUN-19,"GN99997","CN99999997","93796233","001","000063788","AC","VS100FSR","01","KWAI CHUNG",82,"N",208,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","91067272","001","000043990","AC","VS030F6R","01","KOWLOON BAY",120,"N",1160,"","","N","SCFY"
30-JUN-19,"GN00401","CN00000642","72536006","013","000074552","AC","PF1000DUNW0","01","TSUEN WAN",186,"N",373.5,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","90567959","001","000032024","AC","PF100DUN","01","TSUEN WAN",127,"N",163,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","90286337","001","000029654","AC","VS030DUR","01","SHEUNG WAN",131,"N",182,"","","N","SCFY"
30-JUN-19,"GN03878","CN00006260","93855021","001","000064614","AC","PF100F6R","01","SAI YING PUN",79,"N",6420,"","","N","SCFD"
30-JUN-19,"GN02175","CN00003260","74555095","001","000017472","AC","VAXMXMFM2X","01","TSIM SHA TSUI",161,"N",2000,"","","N","SCFY"
30-JUN-19,"GN09536","CN00013013","90988536","001","000082428","AC","VS100DUR","01","KWAI CHUNG",121,"N",140,"","","N","SCFY"
30-JUN-19,"GN10330","CN00013807","94468196","013","000093502","AC","VS100DUSA","01","TIN SHUI WAI",53,"N",2086,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","95582383","001","000088008","AC","VS100FSN","01","CHEUNG SHA WAN",20,"N",168,"","","N","SCFY"
30-JUN-19,"GN01279","CN00001439","90746512","001","000062302","AC","VAXMXMFSRN1","01","CHEK LAP KOK",124,"N",19184,"","","N","SCFD"
30-JUN-19,"GN99996","CN99999996","76676055","001","000026164","AC","VS100DUN","01","TSIM SHA TSUI EAST",140,"N",100,"","","N","SCFY"
30-JUN-19,"GN06732","CN00009935","91586255","001","000053262","AC","PF300FSN","01","WAN CHAI",112,"N",676,"","","N","SCFY"
30-JUN-19,"GN09651","CN00013128","77553410","001","000088438","AC","VS100FSN","01","KOWLOON BAY",137,"N",900,"","","N","SCFY"
30-JUN-19,"GN05869","CN00008748","91844589","001","000054910","AC","VS100DUN","01","KWUN TONG",108,"N",2200,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","96276480","001","000094572","AC","PF1000DUN","01","TIN SHUI WAI",5,"N",,"","","N","SCFY"
30-JUN-19,"GN07532","CN00010737","90148305","003","000063065","AC","VS100DUR","01","KOWLOON BAY",133,"N",2941.3,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","94398179","001","000072762","AC","VS100DUN","01","HUNG HOM",56,"N",230,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","91861922","001","000054993","AC","VS030DUN","01","SHA TIN",108,"N",170,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","76078153","001","000025489","AC","VS030DUN","01","NORTH POINT",142,"N",194,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","95721148","001","000089621","AC","VPXMXMDUXX","01","TUEN MUN",16,"N",167,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","91816165","001","000054776","AC","PF100DUN","01","KWUN TONG",109,"N",230,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","75314062","002","000090283","AC","VS100FSN","01","MA TAU KOK",151,"N",609,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","91203083","002","000069478","AC","VS100FSN","01","HUNG HOM",117,"N",466,"","","N","SCFY"
30-JUN-19,"GN00412","CN00000175","74251737","003","000089078","AC","PF100DUN","01","MONG KOK",166,"N",47499,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","92648682","001","000058485","AC","VA6M6MFMRN","01","KWAI CHUNG",99,"Y",830,"Downsizing / Cut cost","Downsizing / Cut cost","N","SCFY"
30-JUN-19,"GN06520","CN00009703","94591989","001","000075380","AC","PF100DUN","01","TSIM SHA TSUI",49,"Y",360,"Downsizing / Cut cost","Downsizing / Cut cost","N","SCFY"
30-JUN-19,"GN99999","CN99999999","96044052","001","000092655","AC","PF100DUN","01","SHEUNG SHUI",10,"N",168,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","95033296","001","000081927","AC","VS100DUR","01","TSIM SHA TSUI",34,"N",169,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","91818633","001","000054787","AC","VS030DUN","01","TSUEN WAN",109,"N",198,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","74029059","001","000015037","AC","PF1000FSR","01","CHAI WAN",168,"N",358,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","93780021","001","000063537","AC","VS100DUR","01","CHEUNG SHA WAN",83,"N",178,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","96153192","001","000093485","AC","PF100DUN","01","KOWLOON BAY",8,"N",120,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","76885219","001","000026583","AC","VS030DUR","01","KWUN TONG",139,"N",238,"","","N","SCFY"
30-JUN-19,"GN00418","CN00001142","70245212","021","000084922","AC","VS100DUN","01","TSING YI",227,"N",32960,"","","N","SCFD"
30-JUN-19,"GN10330","CN00013807","94468196","005","000083285","AC","PF500DUP","01","LAM TIN",53,"N",2086,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","94908811","001","000080419","AC","VS100DUR","01","TSUEN WAN",38,"N",90,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","91052944","001","000043318","AC","VS030DUN","01","KOWLOON BAY",120,"N",153,"","","N","SCFY"
30-JUN-19,"GN00418","CN00001142","70245212","021","000085033","AC","VS100DUN","01","TSING YI",227,"N",32960,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","94578556","001","000075165","AC","VS100DUR","01","KOWLOON BAY",50,"Y",178,"Downsizing / Cut cost","Downsizing / Cut cost","N","SCFY"
30-JUN-19,"GN99998","CN99999998","91365593","001","000050503","AC","PF100DUR","01","CAUSEWAY BAY",115,"N",230,"","","N","SCFY"
30-JUN-19,"GN05756","CN00008614","94537669","001","000074617","AC","PF300F6N","01","TSUEN WAN",51,"N",9900,"","","N","SCFY"
30-JUN-19,"GN00418","CN00001142","70245212","021","000084950","AC","VS100DUN","01","TSING YI",227,"N",32960,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","75621896","001","000023031","AC","VS030DUN","01","QUARRY BAY",147,"N",150,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","94661659","001","000076561","AC","VS100DUN","01","SHEUNG SHUI",47,"N",160,"","","N","SCFY"
30-JUN-19,"GN00071","CN00000093","94307386","012","000092831","AC","PF1KF8XH","01","KOWLOON BAY",61,"N",20998,"","","N","SCFD"
30-JUN-19,"GN02008","CN00004166","91111526","004","000079937","AC","PF100F6N","01","LAU FAU SHAN",119,"N",5215,"","","N","SCFD"
30-JUN-19,"GN99999","CN99999999","94996535","001","000081599","AC","PF1000FSR","01","CENTRAL DISTRICT",35,"N",386,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999999","95443024","003","000093925","AC","PF100DUP","01","TSING YI",24,"N",636,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","90099078","001","000086019","AC","VS100DUN","01","KWAI CHUNG",134,"N",98,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","71590004","001","000005482","AC","VAXMXMFM2X","01","QUEENSWAY",199,"N",1980,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","76521046","001","000025987","IS","PF100DUN","01","TUEN MUN",140,"N",166,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","95423729","001","000084684","AC","VS100FSN","01","CHEUNG SHA WAN",24,"N",166,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","75114363","003","000063554","AC","VS100FSN","01","WAN CHAI",154,"N",290,"","","N","SCFY"
30-JUN-19,"GN02726","CN00004068","74866799","020","000074648","AC","PF1000DUNW0","01","TUEN MUN",157,"N",720,"","","N","SCFD"
30-JUN-19,"GN00423","CN00006237","71308050","001","000074991","AC","PF100FSR","01","KOWLOON BAY",201,"N",168761.2,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","91238634","001","000065709","AC","VS100DUR","01","TSIM SHA TSUI",117,"N",534.33,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","91420000","002","000057987","AC","VS100FSR","01","NORTH POINT",114,"N",372,"","","N","SCFY"
30-JUN-19,"GN09014","CN00012491","92919273","001","000059414","AC","VAXMXMFMRN","01","SHEUNG WAN",96,"N",876,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","95864179","001","000091212","AC","VS030DUN","01","SHA TIN",13,"N",120,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","75050146","001","000025195","AC","VS100DUN","01","SHAM SHUI PO",155,"N",194,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","94357456","001","000072138","AC","PF1000DUNW0","01","WAN CHAI",58,"N",,"","","N","SCFY"
30-JUN-19,"GN08461","CN00011710","94674538","003","000092192","AC","PF100FSH","01","KWAI CHUNG",46,"N",11960,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","90958463","001","000087301","AC","VS100DUN","01","YAU TONG",121,"N",140,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","95646865","001","000088713","AC","VS100DUN","01","CHEUNG SHA WAN",18,"N",170,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","75027227","001","000079609","AC","VS100DUR","01","NORTH POINT",155,"N",130,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","76204478","001","000025653","AC","VS030DUR","01","SHA TIN",141,"N",131,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","95365276","001","000085524","AC","PF300DUN","01","LAM TIN",26,"N",298,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","95435491","001","000086340","AC","VS100FSN","01","SHAM SHUI PO",24,"N",268,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","94885597","001","000080111","AC","PF100DUR","01","CHEUNG SHA WAN",39,"N",90,"","","N","SCFY"
30-JUN-19,"GN11441","CN99999999","95105649","001","000087841","AC","PF100F8XHR","01","ADMIRALTY",32,"N",4030,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","90086950","001","000088976","AC","VS100DUN","01","AP LEI CHAU",134,"N",348,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","94960846","001","000082451","AC","VS100DUR","01","TUEN MUN",36,"N",270,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","95331096","001","000085272","AC","PF1000F6H","01","CENTRAL DISTRICT",27,"N",2100,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","90309220","001","000029784","AC","ES100DUN","01","TSUEN WAN",131,"N",158,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","94689775","001","000077051","AC","VS100DUR","01","TUEN MUN",46,"Y",114,"(R) Overdue Termination: Involuntary termination by credit control","(R) Overdue Termination","N","SCFY"
30-JUN-19,"GN99995","CN99999995","94179868","001","000069248","AC","VS100DUN","01","TUEN MUN",66,"N",140,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","93352326","001","000060920","AC","ES100DUR","01","WAN CHAI",91,"N",178,"","","N","SCFY"
30-JUN-19,"GN01531","CN00004259","94823929","021","000093928","AC","PF1000FSN","01","QUARRY BAY",41,"N",33900.66,"","","N","SCFD"
30-JUN-19,"GN99997","CN99999997","94942927","001","000081575","AC","VS100DUR","01","CHEUNG SHA WAN",37,"N",251,"","","N","SCFY"
30-JUN-19,"GN09233","CN00014599","94076478","001","000087111","AC","ES100DUN","01","TSIM SHA TSUI EAST",71,"Y",528,"(R) Coverage Issue: Low speed coverage (customer requests 200M+)","(R) Coverage Issue","N","SCFY"
30-JUN-19,"GN99995","CN99999995","95078200","001","000082344","AC","PF1000DUNW0","01","TSIM SHA TSUI",33,"N",,"","","N","SCFY"
30-JUN-19,"GN00108","CN00011873","94693801","078","000081092","AC","PF1000DUNW0","01","TAI PO",46,"N",,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","90983354","002","000051260","AC","VAXMXMFSXX","01","CHEUNG SHA WAN",121,"N",496,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","94816568","001","000079044","AC","VS100DUR","01","CHEUNG SHA WAN",41,"N",150,"","","N","SCFY"
30-JUN-19,"GN00412","CN00000175","94267135","001","000076703","AC","PF1000DUNW0","01","KOWLOON CITY",62,"N",600,"","","N","SCFD"
30-JUN-19,"GN99997","CN99999997","72204894","001","000008151","AC","PF100DUN","01","KWAI CHUNG",192,"N",205,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","93299147","001","000060645","AC","VPXMXMDURN","01","TIN SHUI WAI",92,"N",148,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","94419348","001","000073715","AC","VS100FSN","01","TSIM SHA TSUI",55,"N",678,"","","N","SCFY"
30-JUN-19,"GN00412","CN00004155","94267036","001","000077524","AC","PF1000DUNW0","01","KWAI CHUNG",62,"N",42100,"","","N","SCFD"
30-JUN-19,"GN99996","CN99999996","94862166","001","000079746","AC","VS100DUN","01","KWAI CHUNG",40,"N",320,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","90592155","001","000032168","IS","VP2M2MDU2X","01","SHEUNG SHUI",126,"N",,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","95389912","001","000085770","AC","PF100DUN","01","SHEUNG SHUI",25,"N",280,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","95692356","001","000089424","AC","PF1000DUP","01","REPULSE BAY",17,"N",398,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","94382090","001","000072464","AC","VS100FSN","01","KWUN TONG",57,"N",580,"","","N","SCFY"
30-JUN-19,"GN01220","CN00005653","91071506","001","000061306","AC","VS100FSN","01","KWUN TONG",119,"N",2000,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","95411369","001","000090486","AC","PF100DUN","01","SHEUNG WAN",25,"N",180,"","","N","SCFY"
30-JUN-19,"GN99996","CN99999996","74669979","002","000065688","AC","VS100DUN","01","LAI CHI KOK",160,"N",327.87,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","94392842","001","000072660","AC","VS100DUN","01","TSUEN WAN",56,"N",190,"","","N","SCFY"
30-JUN-19,"GN00108","CN00011873","94693801","123","000087960","AC","PF1000DUNW0","01","MONG KOK",46,"N",,"","","N","SCFD"
30-JUN-19,"GN00423","CN00006237","71308050","010","000074096","AC","PF100FSR","01","KWUN TONG",201,"N",168761.2,"","","N","SCFD"
30-JUN-19,"GN99995","CN99999995","75985556","001","000025044","AC","VS100DUN","01","TUEN MUN",143,"N",198,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","92724673","001","000085404","AC","VS100DUN","01","KWUN TONG",98,"N",105,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","72625254","001","000010066","AC","EPXMXMDUXX","01","SAI YING PUN",185,"N",630,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","74301664","001","000016343","AC","VS030DUR","01","YAU MA TEI",165,"N",160,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","95808606","001","000090713","AC","VS100DUN","01","MONG KOK",14,"N",90,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","94377306","001","000072373","AC","VS100DUN","01","KWAI CHUNG",57,"N",228,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","73651671","001","000013296","AC","VA2M2MFM3X","01","KWUN TONG",173,"N",351,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","90777137","001","000035278","AC","VPXMXMDUXX","01","WANG TAU HOM",124,"N",622,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","94585072","001","000075279","AC","VS100DUR","01","KWAI CHUNG",49,"N",90,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","74707589","001","000063672","AC","VS100DUR","01","KOWLOON BAY",159,"N",113,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","95988408","001","000092224","AC","PF100DUN","01","LAI CHI KOK",11,"N",158,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","90894494","001","000037660","AC","VS030DUR","01","KOWLOON BAY",122,"N",90,"","","N","SCFY"
30-JUN-19,"GN00828","CN00000694","96239629","001","000094224","AC","PF1000FSN","01","KOWLOON BAY",6,"N",456,"","","N","SCFD"
30-JUN-19,"GN99995","CN99999995","74953035","001","000078090","AC","PF100DUR","01","NORTH POINT",156,"N",230,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","94251071","001","000091222","AC","VS100DUN","01","KWAI CHUNG",63,"N",660,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","96208194","001","000093977","AC","PF1000FSN","01","KWUN TONG",6,"N",228,"","","N","SCFY"
30-JUN-19,"GN00898","CN00000791","73742157","030","000080556","AC","VAXMXMFSRN1","01","CENTRAL DISTRICT",172,"N",24172,"","","N","SCFD"
30-JUN-19,"GN07779","CN00010995","95023099","001","000060151","AC","VS100DUSA","01","SHA TIN",34,"N",363,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","90945080","001","000038086","AC","VS100DUSA","01","KWAI CHUNG",121,"N",220,"","","N","SCFY"
30-JUN-19,"GN03888","CN00006328","94655180","001","PON000225","AC","PF100FSSIP","01","HUNG HOM",47,"N",,"","","N","SCFD"
30-JUN-19,"GN99997","CN99999997","93856425","001","000076439","AC","VS100DUSAR","01","SHA TIN",79,"Y",290,"Closing Business","Closing Business","N","SCFY"
30-JUN-19,"GN00412","CN00000175","94267135","001","000076957","AC","PF1000DUNW0","01","CAUSEWAY BAY",62,"N",600,"","","N","SCFD"
30-JUN-19,"GN01757","CN00005629","95627584","001","000088494","AC","PF300F8XH","01","TAI KOK TSUI",18,"N",1200,"","","N","SCFD"
30-JUN-19,"GN99998","CN99999998","95048955","001","000082046","AC","VS100DUR","01","KWAI CHUNG",34,"N",118,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","94089331","001","000068044","AC","VS100FSR","01","CHEUNG SHA WAN",70,"N",203,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","75912261","001","000058729","AC","VS100DUR","01","TUEN MUN",144,"N",140,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","96274626","001","000094534","AC","PF1000DUN","01","LAM TIN",5,"N",,"","","N","SCFY"
30-JUN-19,"GN99995","CN99999995","94129491","001","000068437","AC","PF100DUR","01","SHA TIN",69,"N",188,"","","N","SCFY"
30-JUN-19,"GN99998","CN99999998","94238110","001","000070034","AC","VS100DUN","01","SHEUNG WAN",64,"N",198,"","","N","SCFY"
30-JUN-19,"GN07723","CN00010937","94458957","002","000080444","AC","VS100DUR","01","WAN CHAI",53,"N",264,"","","N","SCFY"
30-JUN-19,"GN99999","CN99999999","96034582","001","000092608","AC","VS100DUN","01","NORTH POINT",10,"N",90,"","","N","SCFY"
30-JUN-19,"GN99997","CN99999997","91331264","001","000059763","AC","VS100DUR","01","SHA TIN",115,"N",147,"","","N","SCFY"
