"IMAGE","GN","CN","ACCT_NO","CONT_NO","LINE_NO","LINE_STAT","SERV_CODE","BILL_CYCL","DISTRICT","TENURE","CHURN","SECURED_REVENUE","CHURN_REASON","CHURN_GROUP","CURRENT_MTH_CHURN","COSTCENTRE"
31-MAR-19,"GN99999","CN99999999","95527883","001","000087394","AC","PF300DUN","01","TSUEN WAN",21,"N",280,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","95302113","001","000084655","AC","PF100FSN","01","SHA TAU KOK",27,"N",1880,"","","N","SCFY"
31-MAR-19,"GN03649","CN00009454","93734762","001","000062991","AC","VS100FSR","01","KWAI CHUNG",85,"N",300,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","95962312","001","000092039","AC","PF1000DUN","01","KWUN TONG",11,"N",188,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","95199931","001","000083590","AC","PF1000DUN","01","CENTRAL DISTRICT",30,"Y",530,"Closing Business","Closing Business","Y","SCFY"
31-MAR-19,"GN02332","CN00003418","72085277","004","000074913","AC","VS100DUR","01","NORTH POINT",193,"N",1804,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","92957620","001","000059525","AC","VAXMXMFSRN1","01","TAI PO",96,"N",240,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","95115812","001","000082702","AC","VS100DUR","01","KWAI CHUNG",32,"N",1755.69,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","75434571","001","000021994","AC","VS100DUR","01","SHAU KEI WAN",150,"N",178,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","74890385","001","000019183","AC","PF100DUN","01","SHA TIN",157,"N",140,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","94813441","002","000086068","AC","VS100DUN","01","LAI CHI KOK",41,"N",,"","","N","SCFY"
31-MAR-19,"GN10906","CN00014383","77687812","003","000091914","AC","PF1000FSN","01","KWUN TONG",137,"N",2220,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","94562162","001","000074912","AC","VS100DUR","01","CHEUNG SHA WAN",50,"N",119,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","90268806","001","000029581","AC","VS100DUR","01","TUEN MUN",131,"N",124,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","94977956","001","000091383","AC","VS100DUN","01","SAN PO KONG",36,"N",138,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","91713222","001","000054322","AC","VS030DUN","01","CHEUNG SHA WAN",110,"N",208,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","74780883","001","000018681","AC","VS100DUN","01","SHA TIN",158,"N",427.68,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","95076063","001","000082323","AC","VS100DUN","01","KWAI CHUNG",33,"N",140,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","95528022","001","000087396","AC","VS030FSN","01","SHEUNG WAN",21,"N",250,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","90271164","001","000055120","AC","VS100DUN","01","YAU TONG",131,"N",183,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","95789640","001","000091763","AC","VS100DUN","01","TSUEN WAN",15,"N",256,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","72677214","009","000072041","AC","PF100DUN","01","HUNG HOM",185,"N",2686,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","94767696","001","000078351","AC","VS100DUR","01","HUNG HOM",42,"N",250,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","93982304","001","000066631","AC","VPXMXMDUXX","01","MONG KOK",74,"N",147,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","95805123","001","000090671","AC","PF100FSN","01","CHAI WAN",14,"N",288,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","94707809","001","000083964","AC","VS100DUN","01","HUNG HOM",45,"N",1082,"","","N","SCFY"
31-MAR-19,"GN01108","CN00001115","93282879","001","000060519","AC","ES100FSN","01","CENTRAL DISTRICT",92,"N",390,"","","N","SCFD"
31-MAR-19,"GN02698","CN00004011","75530113","002","000074350","AC","PF100FSR","01","WAN CHAI",148,"Y",1200,"BILLING PROBLEM","BILLING PROBLEM","N","SCFD"
31-MAR-19,"GN99999","CN99999999","94015419","001","000067011","AC","PF100FSR","01","KWUN TONG",73,"N",198,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","90443763","001","000030510","AC","VS100DUN","01","KWAI CHUNG",129,"N",323.4,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","75825117","001","000024207","AC","VS100DUR","01","KWAI CHUNG",145,"N",250,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","92826882","001","000059131","AC","ES100FSR","01","HUNG HOM",97,"N",288,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","74181157","001","000015743","AC","ES100DUR","01","WAN CHAI",167,"N",178,"","","N","SCFY"
31-MAR-19,"GN99999","CN99999999","73407256","008","000091603","AC","VS030DUN","01","CAUSEWAY BAY",176,"N",596,"","","N","SCFY"
